"Winner","B_current_win_streak","B_Reach_cms","R_losses","B_current_lose_streak","title_bout","R_win_by_Submission","R_win_by_Decision_Split","weight_class"
"Blue",0,187.96,3,0,1,4,0,3
"Red",1,182.88,1,0,1,2,0,7
"Red",0,187.96,0,1,1,0,0,7
"Blue",0,172.72,1,1,1,1,0,4
"Red",0,172.72,1,2,1,1,0,1
"Red",3,200.66,2,0,2,3,1,5
"Blue",0,182.88,3,1,1,3,0,8
"Blue",0,195.58,3,2,1,0,1,8
"Red",0,185.42,1,1,1,1,0,8
"Blue",3,203.2,4,0,1,1,0,8
"Blue",0,182.88,4,1,1,1,1,3
"Red",1,175.26,0,0,1,0,0,12
"Blue",1,182.88,0,0,1,1,0,3
"Red",0,195.58,1,1,1,0,0,9
"Draw",0,180.34,1,3,1,0,0,7
"Red",0,177.8,1,2,1,0,0,3
"Blue",0,190.5,0,1,1,1,0,5
"Blue",2,193.04,1,0,1,0,1,6
"Red",0,165.1,9,2,1,0,1,3
"Red",0,193.04,2,1,1,3,0,6
"Red",0,177.8,3,0,1,0,0,1
"Red",0,195.58,7,2,1,0,2,6
"Blue",0,190.5,4,2,1,1,1,9
"Blue",0,193.04,3,1,1,0,1,9
"Blue",1,182.88,4,0,1,0,0,7
"Red",0,172.72,1,0,1,0,0,3
"Blue",0,172.72,2,2,1,1,0,10
"Blue",0,182.88,0,0,1,0,0,7
"Red",0,190.5,1,1,1,0,0,5
"Red",0,185.42,3,1,1,0,1,7
"Red",2,187.96,0,0,2,2,0,7
"Red",1,182.88,1,0,1,6,1,7
"Blue",2,195.58,6,0,1,4,0,6
"Red",4,203.2,3,0,1,0,1,5
"Red",0,165.1,2,1,1,2,1,13
"Blue",2,170.18,3,0,1,0,1,4
"Red",0,195.58,2,0,1,3,0,9
"Red",0,177.8,0,1,1,0,0,10
"Red",3,187.96,2,0,1,1,0,7
"Blue",0,172.72,2,1,1,0,0,10
"Blue",0,172.72,8,1,1,0,3,7
"Blue",1,185.42,2,0,1,0,0,9
"Red",1,190.5,5,0,1,0,0,6
"Red",1,190.5,4,0,1,3,0,9
"Blue",0,190.5,5,1,1,1,2,6
"Blue",0,190.5,5,0,1,3,0,1
"Draw",0,165.1,5,0,1,0,1,13
"Red",0,180.34,9,1,1,10,0,7
"Red",0,177.8,5,2,1,2,1,7
"Blue",0,200.66,3,0,1,2,0,6
"Red",0,198.12,0,2,1,0,0,5
"Red",1,195.58,3,0,1,2,2,9
"Red",0,180.34,8,6,1,5,1,8
"Red",0,160.02,0,2,1,0,0,13
"Blue",1,203.2,8,0,1,0,0,5
"Red",0,195.58,4,1,1,1,0,6
"Blue",1,193.04,10,0,1,2,1,5
"Red",0,177.8,0,1,1,0,0,9
"Red",2,193.04,0,0,1,0,0,8
"Red",0,175.26,0,0,1,0,0,1
"Red",0,190.5,2,1,1,0,0,7
"Red",1,185.42,1,0,1,0,0,7
"Red",0,187.96,1,1,1,0,0,6
"Blue",3,200.66,0,0,1,0,0,8
"Red",0,190.5,0,0,1,0,0,9
"Red",0,180.34,2,3,1,0,0,1
"Red",4,187.96,3,0,2,0,1,9
"Red",2,162.56,4,0,1,2,1,13
"Red",0,182.88,0,1,1,2,0,3
"Red",1,167.64,1,0,1,0,1,1
"Red",2,193.04,1,0,1,0,0,9
"Blue",3,167.64,3,0,1,1,0,13
"Red",3,162.56,3,0,1,2,0,1
"Red",0,185.42,0,1,1,1,0,9
"Blue",1,187.96,0,0,1,1,0,8
"Red",0,193.04,11,1,1,0,3,9
"Red",0,180.34,12,1,1,6,2,7
"Red",2,170.18,2,0,1,0,0,10
"Blue",0,157.48,1,2,1,1,0,4
"Red",4,193.04,2,0,1,0,0,7
"Red",2,187.96,9,0,1,0,0,3
"Red",1,162.56,5,0,1,1,0,13
"Blue",0,182.88,10,1,1,1,1,9
"Blue",2,172.72,5,0,1,3,1,4
"Red",0,193.04,1,1,1,0,0,8
"Red",2,182.88,3,0,1,2,0,9
"Red",1,180.34,0,0,1,0,0,1
"Red",1,185.42,2,0,1,0,0,8
"Red",0,185.42,1,2,1,3,0,9
"Red",1,185.42,5,0,1,1,0,7
"Red",1,170.18,4,0,1,5,1,1
"Red",0,165.1,3,1,2,1,0,1
"Blue",2,162.56,2,0,2,5,1,4
"Blue",1,182.88,5,0,1,0,0,3
"Blue",2,170.18,0,0,1,1,0,13
"Red",0,205.74,5,0,1,0,0,8
"Red",0,180.34,4,1,1,3,0,1
"Red",0,190.5,0,0,1,0,0,1
"Red",3,185.42,0,0,1,0,0,1
"Blue",0,182.88,0,1,1,0,0,3
"Red",1,165.1,0,0,1,1,0,4
"Red",0,175.26,4,1,1,2,0,1
"Blue",2,182.88,3,0,1,0,2,7
"Red",3,180.34,3,0,1,0,0,3
"Red",0,152.4,2,1,1,0,1,13
"Red",4,177.8,0,0,1,0,0,7
"Red",1,182.88,4,0,1,0,1,9
"Red",0,182.88,1,1,1,0,0,3
"Blue",3,177.8,1,0,1,0,1,7
"Blue",1,190.5,0,0,1,2,0,6
"Red",1,175.26,6,0,1,0,1,7
"Blue",2,172.72,2,0,1,1,2,12
"Red",3,167.64,5,0,1,0,3,4
"Blue",2,162.56,4,0,1,0,1,13
"Red",0,187.96,2,2,1,0,0,7
"Blue",1,193.04,8,0,1,0,1,6
"Blue",1,200.66,4,0,1,3,0,6
"Blue",0,193.04,3,0,1,0,0,8
"Red",0,213.36,3,2,1,0,0,5
"Red",0,190.5,2,0,1,1,0,9
"Red",0,185.42,1,1,1,0,0,7
"Blue",0,177.8,2,1,1,0,0,7
"Blue",2,190.5,1,0,1,0,0,9
"Blue",0,177.8,0,0,1,0,0,3
"Blue",1,198.12,0,0,1,1,1,6
"Blue",1,180.34,2,0,1,0,0,1
"Blue",0,193.04,2,0,1,0,0,6
"Blue",0,182.88,3,0,1,2,0,1
"Red",0,185.42,4,0,1,0,0,5
"Red",1,182.88,2,0,1,1,0,9
"Blue",0,177.8,6,1,1,2,2,3
"Blue",1,193.04,2,0,1,1,0,9
"Blue",0,167.64,2,2,1,1,1,3
"Red",2,172.72,3,0,1,0,0,10
