"date","Winner","title_bout","weight_class","B_fighter","B_Height_cms","B_Reach_cms","B_age","B_current_lose_streak","B_current_win_streak","B_longest_win_streak","B_losses","B_wins","B_total_rounds_fought","B_total_title_bouts","B_win_by_KO.TKO","B_win_by_Submission","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_TKO_Doctor_Stoppage","R_fighter","R_Height_cms","R_Reach_cms","R_age","R_current_lose_streak","R_current_win_streak","R_longest_win_streak","R_losses","R_wins","R_total_rounds_fought","R_total_title_bouts","R_win_by_KO.TKO","R_win_by_Submission","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_TKO_Doctor_Stoppage"
"2019-05-11","Blue","True","Women's Strawweight","Jessica Andrade",154.94,157.48,27,0,3,3,4,10,33,1,2,2,0,1,5,0,"Rose Namajunas",165.1,165.1,26,0,3,3,2,6,23,3,1,3,0,0,2,0
"2019-05-11","Red","False","Middleweight","Anderson Silva",187.96,195.58,44,1,0,16,6,17,58,13,11,3,0,0,3,0,"Jared Cannonier",180.34,195.58,35,0,1,2,4,4,17,0,3,0,0,0,1,0
"2019-05-11","Blue","False","Featherweight","Alexander Volkanovski",167.64,180.34,30,0,6,6,0,6,15,0,3,0,0,0,3,0,"Jose Aldo",170.18,177.8,32,0,2,7,3,10,45,11,4,0,0,0,6,0
"2019-05-11","Blue","False","Welterweight","Laureano Staropoli",185.42,180.34,26,0,1,1,0,1,3,0,0,0,0,0,1,0,"Thiago Alves",175.26,177.8,35,0,1,7,10,15,61,1,7,1,0,1,5,1
"2019-05-11","Red","False","Women's Bantamweight","Bethe Correia",165.1,162.56,35,2,0,3,4,4,21,1,1,0,0,2,1,0,"Irene Aldana",175.26,172.72,31,0,2,2,2,2,12,0,0,0,0,1,1,0
"2019-05-11","Blue","False","Light Heavyweight","Ryan Spann",195.58,200.66,27,0,1,1,0,1,3,0,0,0,0,0,1,0,"Rogerio Nogueira",187.96,190.5,42,0,1,2,5,6,24,0,4,0,0,1,1,0
"2019-05-11","Red","False","Lightweight","Kurt Holobaugh",180.34,177.8,32,3,0,0,3,0,7,0,0,0,0,0,0,0,"Thiago Moises",175.26,177.8,24,1,0,0,1,0,3,0,0,0,0,0,0,0
"2019-05-11","Red","False","Welterweight","Sergio Moraes",182.88,182.88,36,1,0,4,4,8,31,1,1,3,0,2,2,0,"Warlley Alves",180.34,182.88,28,1,0,4,3,6,22,1,0,3,0,0,2,1
"2019-05-11","Blue","False","Lightweight","Clay Guida",170.18,177.8,37,1,0,4,12,14,67,0,2,4,0,3,5,0,"BJ Penn",175.26,177.8,40,7,0,3,14,12,74,11,6,4,0,0,1,1
"2019-05-11","Red","False","Women's Flyweight","Priscila Cachoeira",170.18,165.1,30,2,0,0,2,0,5,0,0,0,0,0,0,0,"Luana Carolina",167.64,175.26,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-05-11","Red","False","Bantamweight","Carlos Huachin",162.56,170.18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,"Raoni Barcelos",170.18,170.18,32,0,2,2,0,2,5,0,1,1,0,0,0,0
"2019-05-11","Blue","False","Women's Bantamweight","Viviane Araujo",162.56,172.72,32,0,0,0,0,0,0,0,0,0,0,0,0,0,"Talita Bernardo",162.56,172.72,32,0,1,1,2,1,9,0,0,0,0,0,1,0
"2019-05-04","Blue","False","Lightweight","Donald Cerrone",185.42,185.42,36,0,2,8,8,22,63,1,10,6,0,0,6,0,"Al Iaquinta",177.8,177.8,32,0,1,5,3,9,33,2,4,0,0,1,4,0
"2019-05-04","Red","False","Middleweight","Elias Theodorou",185.42,190.5,30,0,3,3,2,8,28,1,2,0,0,1,5,0,"Derek Brunson",185.42,195.58,35,2,0,5,5,9,22,0,6,1,0,0,2,0
"2019-05-04","Blue","False","Featherweight","Shane Burgos",180.34,190.5,28,0,1,3,1,4,13,0,1,1,0,0,2,0,"Cub Swanson",172.72,177.8,35,3,0,6,6,10,46,0,4,0,0,0,6,0
"2019-05-04","Blue","False","Bantamweight","Merab Dvalishvili",167.64,172.72,28,0,1,1,2,1,9,0,0,0,0,0,1,0,"Brad Katona",167.64,162.56,27,0,2,2,0,2,6,1,0,0,0,0,2,0
"2019-05-04","Red","False","Heavyweight","Serghei Spivac",190.5,198.12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,"Walt Harris",195.58,195.58,35,1,0,2,7,4,20,0,4,0,0,0,0,0
"2019-05-04","Blue","False","Middleweight","Andrew Sanchez",185.42,187.96,31,0,1,2,2,3,15,1,0,0,0,0,3,0,"Marc-Andre Barriault",185.42,187.96,29,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-05-04","Red","False","Women's Bantamweight","Sarah Moras",170.18,170.18,31,2,0,1,3,2,13,0,0,1,0,0,1,0,"Macy Chiasson",180.34,182.88,27,0,2,2,0,2,3,1,1,1,0,0,0,0
"2019-05-04","Blue","False","Bantamweight","Vince Morales",170.18,177.8,28,1,0,0,1,0,3,0,0,0,0,0,0,0,"Aiemann Zahabi",172.72,172.72,31,1,0,1,1,1,6,0,0,0,0,0,1,0
"2019-05-04","Red","False","Welterweight","Kyle Prepolec",177.8,177.8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nordine Taleb",185.42,187.96,37,2,0,3,4,6,23,0,2,0,0,1,3,0
"2019-05-04","Blue","False","Featherweight","Matt Sayles",170.18,172.72,25,1,0,0,1,0,3,0,0,0,0,0,0,0,"Kyle Nelson",180.34,180.34,28,1,0,0,1,0,2,0,0,0,0,0,0,0
"2019-05-04","Red","False","Heavyweight","Juan Adams",195.58,203.2,27,0,1,1,0,1,3,0,1,0,0,0,0,0,"Arjan Bhullar",185.42,190.5,32,0,1,1,1,2,8,0,0,0,0,0,2,0
"2019-05-04","Blue","False","Bantamweight","Cole Smith",180.34,170.18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mitch Gagnon",165.1,165.1,34,2,0,4,3,4,15,0,0,3,0,0,1,0
"2019-04-27","Blue","False","Middleweight","Jack Hermansson",185.42,195.58,30,0,3,3,2,6,13,0,3,2,0,0,1,0,"Jacare Souza",185.42,182.88,39,0,1,5,3,9,23,0,4,4,0,0,1,0
"2019-04-27","Red","False","Heavyweight","Dmitrii Smoliakov",187.96,187.96,36,2,0,0,2,0,3,0,0,0,0,0,0,0,"Greg Hardy",195.58,203.2,30,1,0,0,1,0,2,0,0,0,0,0,0,0
"2019-04-27","Blue","False","Welterweight","Mike Perry",177.8,180.34,27,1,0,2,4,5,20,0,4,0,0,1,0,0,"Alex Oliveira",180.34,193.04,31,1,0,3,5,9,30,0,4,3,0,0,2,0
"2019-04-27","Red","False","Light Heavyweight","Ion Cutelaba",185.42,190.5,25,0,2,2,2,3,11,0,2,0,0,0,1,0,"Glover Teixeira",187.96,193.04,39,0,1,5,5,11,36,1,4,4,0,0,2,1
"2019-04-27","Blue","False","Bantamweight","Cory Sandhagen",180.34,177.8,27,0,3,3,0,3,5,0,2,1,0,0,0,0,"John Lineker",160.02,170.18,28,0,2,6,3,12,38,0,6,1,0,1,4,0
"2019-04-27","Red","False","Lightweight","Thomas Gifford",185.42,190.5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Roosevelt Roberts",187.96,185.42,25,0,1,1,0,1,1,0,0,1,0,0,0,0
"2019-04-27","Blue","False","Welterweight","Takashi Sato",177.8,185.42,28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ben Saunders",187.96,195.58,36,2,0,3,8,9,33,0,3,3,0,1,2,0
"2019-04-27","Blue","False","Heavyweight","Augusto Sakai",190.5,195.58,27,0,1,1,0,1,3,0,1,0,0,0,0,0,"Andrei Arlovski",190.5,195.58,40,3,0,7,12,16,59,5,9,2,0,1,4,0
"2019-04-27","Red","False","Women's Strawweight","Virna Jandiroba",160.02,162.56,30,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carla Esparza",154.94,160.02,31,2,0,1,4,3,20,2,0,1,0,0,2,0
"2019-04-27","Red","False","Lightweight","Mike Davis",182.88,182.88,26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gilbert Burns",177.8,180.34,32,0,1,3,3,7,22,0,2,3,0,0,2,0
"2019-04-27","Red","False","Lightweight","Jason Gonzalez",187.96,187.96,29,1,0,1,2,1,4,0,0,1,0,0,0,0,"Jim Miller",172.72,180.34,35,1,0,7,13,18,71,0,3,7,0,2,6,0
"2019-04-27","Red","False","Women's Strawweight","Jodie Esquibel",154.94,162.56,32,2,0,0,2,0,6,0,0,0,0,0,0,0,"Angela Hill",160.02,162.56,34,2,0,1,6,3,23,0,0,0,0,0,3,0
"2019-04-27","Blue","False","Welterweight","Dhiego Lima",187.96,187.96,30,0,1,1,5,2,12,2,1,0,0,0,1,0,"Court McGee",180.34,190.5,34,0,1,3,6,8,39,1,0,2,0,1,5,0
"2019-04-20","Red","False","Heavyweight","Aleksei Oleinik",187.96,203.2,41,0,2,2,2,6,12,0,1,5,0,0,0,0,"Alistair Overeem",193.04,203.2,38,0,1,4,6,9,29,1,6,0,1,0,2,0
"2019-04-20","Red","False","Lightweight","Arman Tsarukyan",170.18,182.88,22,0,0,0,0,0,0,0,0,0,0,0,0,0,"Islam Makhachev",177.8,177.8,27,0,4,4,1,5,11,0,1,2,0,0,2,0
"2019-04-20","Red","False","Heavyweight","Marcelo Golm",190.5,190.5,26,2,0,1,2,1,7,0,0,1,0,0,0,0,"Sergei Pavlovich",190.5,213.36,26,1,0,0,1,0,1,0,0,0,0,0,0,0
"2019-04-20","Red","False","Women's Flyweight","Antonina Shevchenko",172.72,170.18,34,0,1,1,0,1,3,0,0,0,0,0,1,0,"Roxanne Modafferi",170.18,175.26,36,1,0,1,3,1,13,1,1,0,0,0,0,0
"2019-04-20","Red","False","Middleweight","Alen Amedovski",177.8,187.96,31,0,0,0,0,0,0,0,0,0,0,0,0,0,"Krzysztof Jotko",185.42,195.58,29,3,0,5,4,6,26,0,1,0,0,1,4,0
"2019-04-20","Red","False","Featherweight","Seungwoo Choi",182.88,187.96,26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Movsar Evloev",170.18,182.88,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-04-20","Red","False","Welterweight","Keita Nakamura",180.34,185.42,34,0,1,1,6,4,29,0,0,2,0,2,0,0,"Sultan Aliev",180.34,187.96,34,1,0,1,2,1,6,0,0,0,0,1,0,0
"2019-04-20","Red","False","Lightweight","Alex Da Silva",172.72,185.42,23,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alexander Yakovlev",190.5,187.96,34,2,0,2,4,2,15,0,1,0,0,0,1,0
"2019-04-20","Blue","False","Heavyweight","Shamil Abdurakhimov",190.5,193.04,37,0,2,2,2,4,15,0,1,0,0,1,2,0,"Marcin Tybura",190.5,198.12,33,0,1,3,3,4,22,0,2,0,0,0,2,0
"2019-04-20","Blue","False","Light Heavyweight","Michal Oleksiejczuk",182.88,187.96,24,0,1,1,1,1,4,0,1,0,0,0,0,0,"Gadzhimurad Antigulov",180.34,177.8,32,1,0,2,1,2,3,0,0,2,0,0,0,0
"2019-04-20","Red","False","Lightweight","Rafael Fiziev",172.72,180.34,26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Magomed Mustafaev",172.72,180.34,30,1,0,2,1,2,5,0,1,0,0,0,0,1
"2019-04-13","Blue","True","Lightweight","Dustin Poirier",175.26,182.88,30,0,3,4,5,16,45,0,8,3,1,0,4,0,"Max Holloway",180.34,175.26,27,0,13,13,3,16,50,4,8,2,0,1,4,1
"2019-04-13","Blue","True","Middleweight","Israel Adesanya",193.04,203.2,29,0,5,5,0,5,14,0,2,0,0,1,2,0,"Kelvin Gastelum",175.26,180.34,27,0,2,5,4,10,35,1,3,2,0,3,2,0
"2019-04-13","Blue","False","Light Heavyweight","Khalil Rountree Jr.",185.42,193.04,29,1,0,2,4,3,11,1,3,0,0,0,0,0,"Eryk Anders",185.42,190.5,31,2,0,2,3,3,18,0,2,0,0,0,1,0
"2019-04-13","Blue","False","Welterweight","Dwight Grant",185.42,193.04,34,0,1,1,1,1,4,0,1,0,0,0,0,0,"Alan Jouban",182.88,185.42,37,0,1,3,4,7,21,0,4,0,0,0,3,0
"2019-04-13","Blue","False","Light Heavyweight","Nikita Krylov",190.5,195.58,27,2,0,5,4,6,15,0,3,3,0,0,0,0,"Ovince Saint Preux",190.5,203.2,36,1,0,4,7,11,41,1,5,4,1,0,1,0
"2019-04-13","Blue","False","Lightweight","Matt Frevola",175.26,180.34,28,2,0,0,2,0,4,0,0,0,0,0,0,0,"Jalin Turner",190.5,195.58,23,0,1,1,1,1,2,0,1,0,0,0,0,0
"2019-04-13","Blue","False","Flyweight","Alexandre Pantoja",165.1,170.18,28,0,2,2,1,4,13,0,0,2,0,1,1,0,"Wilson Reis",162.56,165.1,34,0,1,3,5,7,31,1,0,2,0,0,5,0
"2019-04-13","Red","False","Welterweight","Zelim Imadaev",182.88,193.04,24,0,0,0,0,0,0,0,0,0,0,0,0,0,"Max Griffin",180.34,193.04,33,2,0,1,4,2,16,0,1,0,0,0,1,0
"2019-04-13","Blue","False","Bantamweight","Khalid Taha",165.1,175.26,27,1,0,0,1,0,3,0,0,0,0,0,0,0,"Boston Salmon",175.26,175.26,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-04-13","Blue","False","Welterweight","Belal Muhammad",180.34,182.88,30,1,0,4,3,5,22,0,1,0,0,1,3,0,"Curtis Millender",187.96,193.04,31,1,0,3,1,3,9,0,1,0,0,0,2,0
"2019-04-13","Red","False","Bantamweight","Andre Soukhamthath",175.26,177.8,30,0,1,1,3,2,14,0,1,0,0,0,1,0,"Montel Jackson",177.8,190.5,26,0,1,1,1,1,4,0,0,1,0,0,0,0
"2019-04-13","Blue","False","Women's Flyweight","Poliana Botelho",172.72,170.18,30,1,0,2,1,2,5,0,1,0,0,0,1,0,"Lauren Mueller",165.1,170.18,27,1,0,1,1,1,4,0,0,0,0,0,1,0
"2019-04-13","Red","False","Bantamweight","Randy Costa",175.26,185.42,24,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brandon Davis",177.8,182.88,28,2,0,1,3,1,11,0,0,0,0,0,1,0
"2019-03-30","Blue","False","Lightweight","Justin Gaethje",180.34,177.8,30,0,1,1,2,2,10,0,2,0,0,0,0,0,"Edson Barboza",180.34,190.5,33,0,1,4,6,14,51,0,7,0,1,1,5,0
"2019-03-30","Blue","False","Middleweight","Jack Hermansson",185.42,195.58,30,0,2,2,2,5,12,0,3,1,0,0,1,0,"David Branch",185.42,198.12,37,1,0,2,4,4,19,0,1,0,0,1,2,0
"2019-03-30","Red","False","Featherweight","Michael Johnson",177.8,185.42,32,0,2,4,9,11,50,1,4,0,0,1,6,0,"Josh Emmett",167.64,177.8,34,1,0,2,2,4,15,0,1,0,0,1,2,0
"2019-03-30","Blue","False","Women's Strawweight","Michelle Waterson",160.02,157.48,33,0,2,2,2,4,15,0,0,2,0,1,1,0,"Karolina Kowalkiewicz",160.02,162.56,33,1,0,3,3,5,22,1,0,0,0,2,3,0
"2019-03-30","Red","False","Featherweight","Sheymon Moraes",172.72,182.88,28,0,2,2,1,2,9,0,0,0,0,1,1,0,"Sodiq Yusuff",175.26,180.34,25,0,1,1,0,1,1,0,1,0,0,0,0,0
"2019-03-30","Red","False","Women's Strawweight","Jessica Aguilar",160.02,160.02,36,1,0,1,3,1,10,0,0,0,0,0,1,0,"Marina Rodriguez",167.64,165.1,31,1,0,0,1,0,3,0,0,0,0,0,0,0
"2019-03-30","Blue","False","Lightweight","Desmond Green",177.8,185.42,29,1,0,1,3,2,15,0,0,0,0,1,1,0,"Ross Pearson",172.72,175.26,34,1,0,3,13,12,65,1,4,0,0,2,5,1
"2019-03-30","Blue","False","Featherweight","Kevin Aguilar",170.18,185.42,30,0,1,1,0,1,3,0,0,0,0,0,1,0,"Enrique Barzola",170.18,177.8,29,0,4,4,1,5,18,1,0,0,0,0,5,0
"2019-03-30","Red","False","Middleweight","Gerald Meerschaert",185.42,195.58,31,1,0,2,2,4,9,0,1,3,0,0,0,0,"Kevin Holland",190.5,205.74,26,0,1,1,1,1,6,0,0,1,0,0,0,0
"2019-03-30","Blue","False","Bantamweight","Casey Kenney",170.18,172.72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ray Borg",162.56,160.02,25,1,0,3,3,5,24,1,0,2,0,0,3,0
"2019-03-30","Blue","False","Women's Flyweight","Maryna Moroz",170.18,170.18,27,1,0,2,2,3,13,0,0,1,0,1,1,0,"Sabina Mazo",170.18,177.8,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-03-30","Red","False","Bantamweight","Mark De La Rosa",167.64,165.1,24,0,2,2,1,2,7,0,0,1,0,1,0,0,"Alex Perez",167.64,165.1,27,1,0,3,1,3,7,0,1,1,0,0,1,0
"2019-03-23","Blue","False","Welterweight","Anthony Pettis",177.8,182.88,32,1,0,5,7,8,38,4,2,4,0,1,1,0,"Stephen Thompson",182.88,190.5,36,1,0,7,4,9,38,2,5,0,0,0,4,0
